salt,Tub,salt,0.1,52,Cabinet,Not Applicable
oregano,Shaker,oregano,0.2,52,Cabinet,Not Applicable
basil,Shaker,basil,0.2,52,Cabinet,Not Applicable
onions,Bag,onions,0.2,8,Refrigerator,Not Applicable
carrots,Bag,carrots,0.25,8,Refrigerator,Not Applicable
celery,Bag,celery,0.99,4,Refrigerator,Not Applicable
dry brown lentils,Bag,dry brown lentils,0.99,52,Cabinet,Not Applicable
bananas,Bunch,bananas,0.1,1,Cabinet,Not Applicable
peanutbutter,Jar,pb,0.25,52,Cabinet,8
coco powder,Tub,coco powder,0.2,52,Cabinet,Not Applicable
almond milk,Carton,almond milk,0.25,4,Refrigerator,Not Applicable
wheat bread,Bag,wheat bread,0.2,4,Refrigerator,4
black beans,Can,bb,0.2,52,Cabinet,1
lentils,Jar,l,0.5,24,Freezer,1
salsa,Jar,salsa,0.5,52,Cabinet,6
lenitls with peanut sauce,Jar,lwps,0.5,24,Freezer,1
mash,Jar,mash,0.99,52,Deep Freezer,1